"ID";"FLASHSCORE_ID";"NAME";"COUNTRY";"IMAGE"
"32582";"lz2T1f7t";"Вулверхэмптон U18";"Англия";"lz2T1f7t.png"
"32583";"tnO5eJp7";"Вест Бромвич U18";"Англия";"tnO5eJp7.png"
"32584";"lxB7FNNK";"Сандерленд U18";"Англия";"lxB7FNNK.png"
"32585";"t8BsF38E";"Сток U18";"Англия";"t8BsF38E.png"
"32586";"2q5RapvF";"Рединг U18";"Англия";"2q5RapvF.png"
"32587";"Y9nvA1or";"Тоттенхэм U18";"Англия";"Y9nvA1or.png"
"32588";"jmEYHzYK";"Астон Вилла U18";"Англия";"jmEYHzYK.png"
"32589";"KxN9fw0D";"Вест Хэм U18";"Англия";"KxN9fw0D.png"
"32590";"xOUvXTA3";"Ливерпуль U18";"Англия";"xOUvXTA3.png"
"32591";"2kqSBS5P";"Вилит Бенгела";"Ангола";"2kqSBS5P.png"
"32592";"IBc0OrpH";"Саграда";"Ангола";"IBc0OrpH.png"
"32593";"4QmJ2LNc";"Росарио Сентраль";"Аргентина";"4QmJ2LNc.png"
"32598";"QuxS0ahA";"Аргентинос Хуниорс";"Аргентина";"QuxS0ahA.png"
"35823";"0dHZReql";"Сентраль Кордоба";"Аргентина";"0dHZReql.png"
"32600";"p2SkCHXs";"Эстудиантес";"Аргентина";"p2SkCHXs.png"
"32601";"rkRIZdfG";"Патронато";"Аргентина";"rkRIZdfG.png"
"32605";"69lVXxPD";"Нуэва Чикаго";"Аргентина";"69lVXxPD.png"
"32606";"bH5gFEj3";"Темперлей";"Аргентина";"bH5gFEj3.png"
"32600";"UJxN1Hii";"Эстудиантес";"Аргентина";"UJxN1Hii.png"
"32608";"Gnq6giAA";"Чакарита Хуниорс";"Аргентина";"Gnq6giAA.png"
"32609";"p6ySwEap";"Атлетико Атланта";"Аргентина";"p6ySwEap.png"
"32610";"dC54YFP9";"Гильермо Браун";"Аргентина";"dC54YFP9.png"
"32614";"rPiItCsU";"Атлетико Рафаэла";"Аргентина";"rPiItCsU.png"
"32615";"x6y9vLzJ";"Сакачиспас";"Аргентина";"x6y9vLzJ.png"
"32616";"6gXnhiqj";"Фландрия";"Аргентина";"6gXnhiqj.png"
"32617";"EJlvsfiT";"Альмиранте Браун";"Аргентина";"EJlvsfiT.png"
"32618";"UVlWt3yf";"Леандро Н. Алем";"Аргентина";"UVlWt3yf.png"
"32619";"lGgXrqMm";"Экскурсионистас";"Аргентина";"lGgXrqMm.png"
"32620";"EDkCUD9S";"Эль Порвенир";"Аргентина";"EDkCUD9S.png"
"32622";"OWCfIUOr";"Депортиво Мерло";"Аргентина";"OWCfIUOr.png"
"32624";"n9jGcDLS";"Депортиво Эспаньол";"Аргентина";"n9jGcDLS.png"
"32625";"pbkBY1Me";"Линиерс";"Аргентина";"pbkBY1Me.png"
"32626";"0pyRj96p";"Хувентуд Унида С.-М.";"Аргентина";"0pyRj96p.png"
"32627";"lpzQXDLF";"Алашкерт";"Армения";"lpzQXDLF.png"
"32628";"460rsk8t";"Гандзасар";"Армения";"460rsk8t.png"
"32629";"8Q52Weld";"ФК Ереван";"Армения";"8Q52Weld.png"
"32630";"fegevmha";"Ширак";"Армения";"fegevmha.png"
"32631";"IeBFvsBE";"Бурунди";"Африка";"IeBFvsBE.png"
"32632";"hnw06lwh";"Уганда";"Африка";"hnw06lwh.png"
"32633";"lGDZlkOb";"Гвинея";"Африка";"lGDZlkOb.png"
"32634";"zm8nIuZl";"Ливия";"Африка";"zm8nIuZl.png"
"32635";"fPUz0Qc4";"Аль-Хала";"Бахрейн";"fPUz0Qc4.png"
"32636";"lWodcOsN";"Аль-Мухаррак";"Бахрейн";"lWodcOsN.png"
"32637";"IDIzhr4n";"Слуцк";"Беларусь";"IDIzhr4n.png"
"32638";"4GTnTwiR";"Неман";"Беларусь";"4GTnTwiR.png"
"40360";"Ac6FOcar";"Dnyapro";"Беларусь";"Ac6FOcar.png"
"32639";"Ac6FOcar";"Dnepr Mogilev";"Беларусь";"Ac6FOcar.png"
"32640";"GnDSyToM";"БАТЭ";"Беларусь";"GnDSyToM.png"
"32641";"thsSAvVr";"Шахтер Солигорск";"Беларусь";"thsSAvVr.png"
"32642";"Emz7ojLN";"Смолевичи";"Беларусь";"Emz7ojLN.png"
"32643";"n1pAZ1iB";"Барановичи";"Беларусь";"n1pAZ1iB.png"
"32644";"0zTiOyUf";"Гранит Микашевичи";"Беларусь";"0zTiOyUf.png"
"32645";"zcy3nW5H";"Слоним-2017";"Беларусь";"zcy3nW5H.png"
"32646";"pSnayNGa";"Химик Светлогорск";"Беларусь";"pSnayNGa.png"
"32647";"2o6njvyG";"Кортрейк";"Бельгия";"2o6njvyG.png"
"32649";"IXnm9vwh";"Серкль Брюгге";"Бельгия";"IXnm9vwh.png"
"32650";"r3jWUIiN";"Генк";"Бельгия";"r3jWUIiN.png"
"32652";"EaOtKH1f";"Беерсхот";"Бельгия";"EaOtKH1f.png"
"32654";"f3BQbq1n";"ЮРС Сентре";"Бельгия";"f3BQbq1n.png"
"32656";"StpjwvsO";"Ребекуаз";"Бельгия";"StpjwvsO.png"
"32657";"K0H6jm7P";"РААЛ Ла Лувирье";"Бельгия";"K0H6jm7P.png"
"32658";"dzxbDoFi";"Francs Borains";"Бельгия";"dzxbDoFi.png"
"32659";"M1c7lv64";"Гуллегем";"Бельгия";"M1c7lv64.png"
"32660";"08Ua8dLH";"Мандел Юнайтед";"Бельгия";"08Ua8dLH.png"
"32661";"M7j5r9I5";"Синт-Никлас";"Бельгия";"M7j5r9I5.png"
"32662";"I5WlDvMh";"Ауденарде";"Бельгия";"I5WlDvMh.png"
"32663";"zqCeoLBb";"Хасселт";"Бельгия";"zqCeoLBb.png"
"32664";"MHVe9x6B";"Каппеллен";"Бельгия";"MHVe9x6B.png"
"32665";"j3Am9obj";"Андерлехт (Ж)";"Бельгия";"j3Am9obj.png"
"32666";"AmN5CW64";"Тинен (Ж)";"Бельгия";"AmN5CW64.png"
"32667";"4pW4ElqI";"Генк II (Ж)";"Бельгия";"4pW4ElqI.png"
"32668";"UuZOHNbs";"Аальст (Ж)";"Бельгия";"UuZOHNbs.png"
"32669";"2FfFkYFi";"Гент II (Ж)";"Бельгия";"2FfFkYFi.png"
"32670";"zHZKSYpL";"Фемина Волюве (Ж)";"Бельгия";"zHZKSYpL.png"
"32671";"Ym6q8RwT";"СЖ-Тертр Отраж (Ж)";"Бельгия";"Ym6q8RwT.png"
"32672";"f5L4S0kI";"Царско Село";"Болгария";"f5L4S0kI.png"
"32673";"bBRLPOf6";"Тоовонг";"Австралия";"bBRLPOf6.png"
"32674";"dvPK6Nrh";"Олбани Крик";"Австралия";"dvPK6Nrh.png"
"32676";"Au65jKS3";"Девонпорт";"Австралия";"Au65jKS3.png"
"32677";"4ORPPwPl";"Вуллонгонг Вулвз";"Австралия";"4ORPPwPl.png"
"32678";"lnRa4LIe";"Канберра Олимпик";"Австралия";"lnRa4LIe.png"
"67343";"fBe1n304";"Тироль";"Австрия";"fBe1n304.png"
"32682";"EepQ4ctk";"Маттерсбург";"Австрия";"EepQ4ctk.png"
"32683";"zsktjfsD";"Штурм";"Австрия";"zsktjfsD.png"
"32684";"655zEcZJ";"Аустрия Люстенау";"Австрия";"655zEcZJ.png"
"32686";"hIayizS6";"Аустрия Клагенфурт";"Австрия";"hIayizS6.png"
"32687";"SUpSZy5K";"Капфенберг";"Австрия";"SUpSZy5K.png"
"32688";"YHWHwmRf";"Амштеттен";"Австрия";"YHWHwmRf.png"
"32690";"jXu9HJ15";"Хорн";"Австрия";"jXu9HJ15.png"
"32691";"6c17idcf";"Рид";"Австрия";"6c17idcf.png"
"32693";"Cv27lapN";"Лиферинг";"Австрия";"Cv27lapN.png"
"32694";"lpgpkEdJ";"Вакер Инсбрук";"Австрия";"lpgpkEdJ.png"
"32695";"r9HwRaWH";"Тим Виен";"Австрия";"r9HwRaWH.png"
"32696";"lYf5oNFA";"Дорнбирн 1913";"Австрия";"lYf5oNFA.png"
"32697";"4IIZRuHB";"Маттерсбург II";"Австрия";"4IIZRuHB.png"
"32698";"632P4ana";"Нойзидль";"Австрия";"632P4ana.png"
"32699";"SlrT0GAE";"Эбрайхсдорф";"Австрия";"SlrT0GAE.png"
"32700";"Yuu4T0aG";"Рапид Вена II";"Австрия";"Yuu4T0aG.png"
"32702";"fsU4qiAK";"Адмира II";"Австрия";"fsU4qiAK.png"
"32704";"4bTx6ybm";"Нойштадт";"Австрия";"4bTx6ybm.png"
"32705";"vHBrG6b7";"Леобендорф";"Австрия";"vHBrG6b7.png"
"32708";"2ag1kEDl";"Вайц";"Австрия";"2ag1kEDl.png"
"32709";"QXKTy4Fm";"Фёкламаркт";"Австрия";"QXKTy4Fm.png"
"64106";"8IZ6QvUS";"Штурм II";"Австрия";"8IZ6QvUS.png"
"32710";"8IZ6QvUS";"Штурм II";"Австрия";"8IZ6QvUS.png"
"32711";"Wx5d4Qjo";"Вольфсбергер II";"Австрия";"Wx5d4Qjo.png"
"32712";"UJZMaE1Q";"Рид II";"Австрия";"UJZMaE1Q.png"
"32713";"6JeJJlar";"Калсдорф";"Австрия";"6JeJJlar.png"
"32714";"ln6H4aVT";"Куфштейн";"Австрия";"ln6H4aVT.png"
"32717";"I33GDJwo";"Гродиг";"Австрия";"I33GDJwo.png"
"32718";"rVYUlskp";"Йоханн";"Австрия";"rVYUlskp.png"
"32719";"EeUIJqPA";"Саалфелден";"Австрия";"EeUIJqPA.png"
"32720";"WUCdBknO";"Вальс-Грюнау";"Австрия";"WUCdBknO.png"
"32721";"ABne2mU7";"УСК Аниф";"Австрия";"ABne2mU7.png"
"32722";"joHnEPe6";"ЗАК 1914";"Австрия";"joHnEPe6.png"
"32723";"EZiFkHOm";"Wolfurt";"Австрия";"EZiFkHOm.png"
"32724";"MLbQwjjO";"Дорнбирнер СВ";"Австрия";"MLbQwjjO.png"
"32725";"ldArTE6C";"Лангенегг";"Австрия";"ldArTE6C.png"
"32726";"xYUul2I1";"Штурм (Ж)";"Австрия";"xYUul2I1.png"
"32727";"fNGcxbyr";"Сабах Баку";"Азербайджан";"fNGcxbyr.png"
"32728";"n3cad8xt";"Габала";"Азербайджан";"n3cad8xt.png"
"32729";"QoJS4I16";"Гонконг U16";"Азия";"QoJS4I16.png"
"32730";"OQqYdKve";"Австралия U16 (Ж)";"Австралия и Океания";"OQqYdKve.png"
"32731";"jccqrT3j";"Таиланд U16 (Ж)";"Азия";"jccqrT3j.png"
"32732";"OQmhWBVP";"Билис";"Албания";"OQmhWBVP.png"
"32733";"lQvENR7I";"Теута";"Албания";"lQvENR7I.png"
"32734";"EVLM75ot";"Деволи";"Албания";"EVLM75ot.png"
"32735";"CjYs7BO9";"Egnatia Rrogozhine";"Албания";"CjYs7BO9.png"
"32736";"rVsSvoIc";"Шенколли";"Албания";"rVsSvoIc.png"
"32737";"KISc88wJ";"Беса";"Албания";"KISc88wJ.png"
"32738";"UZSk9hik";"Кастриоти";"Албания";"UZSk9hik.png"
"32739";"ln6U9pc8";"Бесалиджа Лежа";"Албания";"ln6U9pc8.png"
"32740";"KULnIvuc";"Коплик";"Албания";"KULnIvuc.png"
"32741";"lUezXlwC";"Amal Bou Saada";"Алжир";"lUezXlwC.png"
"51057";"dEcsW2vP";"Описание Арзев";"Алжир";"dEcsW2vP.png"
"32742";"dEcsW2vP";"Описание Арзев";"Алжир";"dEcsW2vP.png"
"32743";"EDMuy35J";"Релизан";"Алжир";"EDMuy35J.png"
"32744";"OQubDJ3q";"Аннаба";"Алжир";"OQubDJ3q.png"
"32745";"WdKOwxDM";"Саутгемптон";"Англия";"WdKOwxDM.png"
"32746";"UDg08Ohm";"Тоттенхэм";"Англия";"UDg08Ohm.png"
"32747";"Qo6off6p";"Норвич";"Англия";"Qo6off6p.png"
"32748";"KluSTr9s";"Эвертон";"Англия";"KluSTr9s.png"
"32749";"p6ahwuwJ";"Ньюкасл Юнайтед";"Англия";"p6ahwuwJ.png"
"32750";"x8IDVcbi";"Престон";"Англия";"x8IDVcbi.png"
"32751";"hSUajdSS";"Сток Сити";"Англия";"hSUajdSS.png"
"32752";"K6xezbY7";"Суонси";"Уэльс";"K6xezbY7.png"
"32756";"K4AgRmS1";"Катовице";"Польша";"K4AgRmS1.png"
"32757";"K6kt5UTg";"Легионово";"Польша";"K6kt5UTg.png"
"32758";"0MI2e7d1";"Сталь Сталова";"Польша";"0MI2e7d1.png"
"32759";"KviDcE1j";"Старгард-Щециньски";"Польша";"KviDcE1j.png"
"32760";"0KH1euzB";"Скра";"Польша";"0KH1euzB.png"
"32763";"rNOIW3uC";"Видзев";"Польша";"rNOIW3uC.png"
"32764";"IgGIQ3Yd";"Полковице";"Польша";"IgGIQ3Yd.png"
